instance_id,subset,N,M,correlation,f,seed,solver,class_ordering,n_iter,alpha,k,lambda_max,lambda_est,fallback_equal_split,phase1_wall_s,phase2_wall_s
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed0.json.gz,test,100000,10,inversely_strongly,0.1,0,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.586678,0.073085
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed1.json.gz,test,100000,10,inversely_strongly,0.1,1,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.576817,0.072366
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed10.json.gz,test,100000,10,inversely_strongly,0.1,10,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.609579,0.073409
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed12.json.gz,test,100000,10,inversely_strongly,0.1,12,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.617489,0.073516
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed13.json.gz,test,100000,10,inversely_strongly,0.1,13,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.599550,0.073216
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed14.json.gz,test,100000,10,inversely_strongly,0.1,14,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.624679,0.073449
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed15.json.gz,test,100000,10,inversely_strongly,0.1,15,hld,sequential,35,0.998,58,80.745,0.9950000023125901,0,2.621858,0.074263
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed16.json.gz,test,100000,10,inversely_strongly,0.1,16,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.642079,0.073642
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed17.json.gz,test,100000,10,inversely_strongly,0.1,17,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.623415,0.073480
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed19.json.gz,test,100000,10,inversely_strongly,0.1,19,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.636944,0.073999
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed2.json.gz,test,100000,10,inversely_strongly,0.1,2,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.643394,0.075433
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed20.json.gz,test,100000,10,inversely_strongly,0.1,20,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.646874,0.074501
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed22.json.gz,test,100000,10,inversely_strongly,0.1,22,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.655063,0.075168
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed23.json.gz,test,100000,10,inversely_strongly,0.1,23,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.649036,0.075804
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed24.json.gz,test,100000,10,inversely_strongly,0.1,24,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.658991,0.075634
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed26.json.gz,test,100000,10,inversely_strongly,0.1,26,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.662215,0.074831
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed28.json.gz,test,100000,10,inversely_strongly,0.1,28,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.662308,0.074097
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed3.json.gz,test,100000,10,inversely_strongly,0.1,3,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.669397,0.075422
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed32.json.gz,test,100000,10,inversely_strongly,0.1,32,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.670664,0.074748
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed33.json.gz,test,100000,10,inversely_strongly,0.1,33,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.675570,0.076290
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed34.json.gz,test,100000,10,inversely_strongly,0.1,34,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.657253,0.076301
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed35.json.gz,test,100000,10,inversely_strongly,0.1,35,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.708853,0.075361
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed36.json.gz,test,100000,10,inversely_strongly,0.1,36,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.702097,0.075631
inversely_strongly/N100000_M10/mckp_N100000_M10_inversely_strongly_f0.100_seed37.json.gz,test,100000,10,inversely_strongly,0.1,37,hld,sequential,35,0.998,58,80.745,0.9940000021827291,0,2.678528,0.075977
