instance_id,n_iter,alpha,k,lambda_max,seed,profit,ref_profit,optimality_gap,wall_time_s
pisinger_smac_t6_k10_n10_r10000_s1003,20,0.9,8,5.0,327741615,84734,87714,0.03397405203274278,0.025891375029459596
pisinger_smac_t3_k10_n10_r10000_s1006,20,0.9,8,5.0,327741615,49865,52002,0.04109457328564286,0.02348033303860575
pisinger_smac_t3_k10_n10_r10000_s1006,5,0.076308289374,18,41.9952838206072,327741615,44660,52002,0.14118687742779124,0.02550033398438245
pisinger_smac_t6_k100_n100_r10000_s1011,20,0.9,8,5.0,327741615,984214,984480,0.000270193401592719,0.15425641601905227
pisinger_smac_t3_k10_n10_r10000_s1006,32,0.2729656518582,46,94.152675872389,327741615,44080,52002,0.15234029460405368,0.025796832982450724
pisinger_smac_t2_k10_n10_r10000_s1006,20,0.9,8,5.0,327741615,45014,48694,0.07557399268903767,0.02675499999895692
pisinger_smac_t2_k10_n10_r10000_s1006,47,0.78382080091,38,33.4304328915546,327741615,44951,48694,0.0768677865856163,0.026639999938197434
pisinger_smac_t5_k100_n10_r10000_s1004,20,0.9,8,5.0,327741615,680550,683600,0.004461673493270918,0.16589624993503094
pisinger_smac_t6_k100_n100_r10000_s1011,13,0.9282358895794,62,74.2708972965857,327741615,983226,984480,0.0012737688932228182,0.20695750007871538
pisinger_smac_t5_k10_n100_r10000_s1009,20,0.9,8,5.0,327741615,54443,56855,0.04242370943628529,0.029102583066560328
pisinger_smac_t5_k100_n10_r10000_s1004,23,0.5059739325833,12,64.2418674160688,327741615,675755,683600,0.011476009362200118,0.2733337910613045
pisinger_smac_t5_k10_n100_r10000_s1008,20,0.9,8,5.0,327741615,54720,56918,0.038616957728662284,0.04485054197721183
pisinger_smac_t5_k10_n100_r10000_s1009,18,0.380397175955,40,70.4611606249628,327741615,50584,56855,0.11029812681382464,0.01855241705197841
pisinger_smac_t3_k100_n10_r10000_s1001,20,0.9,8,5.0,327741615,536260,536305,8.390747802090229e-05,1.3720861669862643
pisinger_smac_t3_k10_n10_r10000_s1006,6,0.366828248731,62,33.0669662593453,327741615,46121,52002,0.11309180416137841,0.02597191696986556
pisinger_smac_t4_k100_n100_r10000_s1005,20,0.9,8,5.0,327741615,498777,498794,3.40822062815511e-05,0.7375733749940991
pisinger_smac_t4_k100_n100_r10000_s1005,14,0.4387277647572,47,98.6219662577693,327741615,498738,498794,0.00011227079716275658,3.092011749977246
pisinger_smac_t2_k100_n10_r10000_s1007,20,0.9,8,5.0,327741615,512429,512492,0.00012292874815606877,3.200157625018619
pisinger_smac_t2_k10_n10_r10000_s1006,44,0.751853615807,58,55.3957576116893,327741615,41258,48694,0.1527087526183924,0.027618749998509884
pisinger_smac_t3_k10_n10_r10000_s1004,20,0.9,8,5.0,327741615,50839,52482,0.03130597157120536,0.01900654099881649
pisinger_smac_t2_k10_n10_r10000_s1006,39,0.7921406109813,23,53.9255883705341,327741615,44951,48694,0.0768677865856163,0.027482250006869435
pisinger_smac_t4_k100_n100_r10000_s1004,20,0.9,8,5.0,327741615,500203,500202,0.0,0.8304855839814991
