instance_id,n_iter,alpha,k,lambda_max,seed,profit,ref_profit,optimality_gap,wall_time_s
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.250_seed4.json.gz,20,0.9,8,10.0,327741615,29372,30011,0.021292192862617042,0.19485900001018308
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.250_seed2.json.gz,20,0.9,8,10.0,327741615,28848,29544,0.023558082859463852,1.3376156629965408
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.250_seed2.json.gz,5,0.076308289374,18,42.5178488312323,327741615,27758,29544,0.060452206877877064,0.904097639999236
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.250_seed2.json.gz,20,0.9,8,10.0,327741615,28720,29401,0.02316247746675283,0.18761388800339773
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.250_seed4.json.gz,32,0.2729656518582,46,94.2053544681332,327741615,24505,30011,0.18346606244377062,0.5586064969975268
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.900_seed3.json.gz,20,0.9,8,10.0,327741615,101145,101759,0.006033864326496919,11.865391325001838
inversely_strongly/N200_M5/mckp_N200_M5_inversely_strongly_f0.250_seed2.json.gz,47,0.78382080091,38,34.0301587213604,327741615,24756,29401,0.1579878235434169,0.685686609998811
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed0.json.gz,20,0.9,8,10.0,327741615,11469,12030,0.04663341645885287,0.46461469199857675
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed0.json.gz,45,0.9040206286672,57,62.7319626470902,327741615,9741,12030,0.19027431421446384,0.17767020399332978
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.250_seed3.json.gz,20,0.9,8,10.0,327741615,28313,29004,0.02382430009653841,1.623274314988521
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.250_seed3.json.gz,23,0.5059739325833,12,64.5640127546628,327741615,27910,29004,0.03771893531926631,0.5727604329877067
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.500_seed4.json.gz,20,0.9,8,10.0,327741615,58463,58907,0.007537304564822517,1.8293715320032788
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.500_seed4.json.gz,18,0.380397175955,40,70.7272762950082,327741615,54621,58907,0.07275875532619214,1.6267585809982847
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.750_seed2.json.gz,20,0.9,8,10.0,327741615,86756,87325,0.00651588892069854,3.9400721049896674
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.250_seed3.json.gz,6,0.366828248731,62,33.6699665633151,327741615,21326,29004,0.26472210729554546,0.6241442780010402
inversely_strongly/N200_M10/mckp_N200_M10_inversely_strongly_f0.100_seed3.json.gz,20,0.9,8,10.0,327741615,10892,11613,0.062085593731163354,1.0268961719993968
